cell,corners,centroid,auxin
60,"[[21, 83], [21, 88], [24, 88], [24, 83]]","[22.5, 85.5]",781.133
61,"[[26, 83], [26, 87], [34, 87], [34, 83]]","[30.0, 85.0]",171.726
62,"[[36, 83], [36, 87], [45, 87], [45, 83]]","[40.5, 85.0]",142.026
63,"[[47, 83], [47, 87], [52, 87], [52, 83]]","[49.5, 85.0]",84.8997
64,"[[54, 83], [54, 87], [57, 87], [57, 83]]","[55.5, 85.0]",386.507
65,"[[59, 83], [59, 87], [61, 87], [61, 83]]","[60.0, 85.0]",344.88
66,"[[63, 83], [63, 87], [65, 87], [65, 83]]","[64.0, 85.0]",277.393
67,"[[67, 83], [67, 87], [69, 87], [69, 83]]","[68.0, 85.0]",274.556
68,"[[71, 83], [71, 87], [73, 87], [73, 83]]","[72.0, 85.0]",274.556
69,"[[75, 83], [75, 87], [77, 87], [77, 83]]","[76.0, 85.0]",277.393
70,"[[79, 83], [79, 87], [81, 87], [81, 83]]","[80.0, 85.0]",344.88
71,"[[83, 83], [83, 87], [86, 87], [86, 83]]","[84.5, 85.0]",386.507
72,"[[88, 83], [88, 87], [93, 87], [93, 83]]","[90.5, 85.0]",84.8997
73,"[[95, 83], [95, 87], [104, 87], [104, 83]]","[99.5, 85.0]",142.026
74,"[[106, 83], [106, 87], [114, 87], [114, 83]]","[110.0, 85.0]",171.726
75,"[[116, 83], [116, 88], [119, 88], [119, 83]]","[117.5, 85.5]",781.133
76,"[[26, 89], [26, 93], [34, 93], [34, 89]]","[30.0, 91.0]",181.213
77,"[[36, 89], [36, 93], [45, 93], [45, 89]]","[40.5, 91.0]",139.364
78,"[[47, 89], [47, 93], [52, 93], [52, 89]]","[49.5, 91.0]",60.045
79,"[[54, 89], [54, 93], [57, 93], [57, 89]]","[55.5, 91.0]",297.682
80,"[[59, 89], [59, 93], [61, 93], [61, 89]]","[60.0, 91.0]",273.228
81,"[[63, 89], [63, 93], [65, 93], [65, 89]]","[64.0, 91.0]",225.128
82,"[[67, 89], [67, 93], [69, 93], [69, 89]]","[68.0, 91.0]",201.207
83,"[[71, 89], [71, 93], [73, 93], [73, 89]]","[72.0, 91.0]",201.207
84,"[[75, 89], [75, 93], [77, 93], [77, 89]]","[76.0, 91.0]",225.128
